Resume,Skills
MuhammadUmerWasi_CV.pdf,"[('WIZDOM AI USER MANUAL.pdf', 0.1978141420187361), ('MuhammadUmerWasi_CV.pdf', 0.0659380473395787)]"
WIZDOM AI USER MANUAL.pdf,"[('MuhammadUmerWasi_CV.pdf', 0.0), ('WIZDOM AI USER MANUAL.pdf', 0.0)]"
